,x,y,time,cyc,track,qs,px1,py1,px2,py2,geometry,min_dist
0,-901567.6687645797,353658.17603612336,109671635.51904707,11,1382-gt3r,3.4703944992518694,,,,,POINT (-901567.6687645797 353658.17603612336),978.2386158165644
1,-900717.6426001531,353174.0207828575,109671635.29782736,11,1382-gt3l,2.9932753351183283,,,,,POINT (-900717.6426001531 353174.0207828575),978.2386158165644
2,-895418.1251194295,357413.9256430221,109671635.96731648,11,1382-gt1r,6.003480391915604,,,,,POINT (-895418.1251194295 357413.9256430221),95.00331008928387
3,-895336.3769367313,357462.3287788033,109671635.61131258,11,1382-gt1l,5.394015546515644,,,,,POINT (-895336.3769367313 357462.3287788033),95.00331008928387
4,-822280.6489025459,413384.9243921109,109547440.44610523,11,1360-gt3l,2.6951739023215477,,,,,POINT (-822280.6489025459 413384.9243921109),1008.2690797680689
5,-823059.1532626619,410266.5123501921,109547440.83924401,11,1360-gt2r,2.642581274879131,-803210.0727255607,405939.08439508715,-812734.4395293833,408017.1252756247,POINT (-823059.1532626619 410266.5123501921),532.48057556489
6,-822564.0301003854,410070.58221588074,109547440.40148747,11,1360-gt2l,2.859705190848296,,,,,POINT (-822564.0301003854 410070.58221588074),532.48057556489
7,-823115.3139657828,406897.6671589424,109547440.76033035,11,1360-gt1r,2.6894389121291327,-805149.6212446978,402981.8262684199,-816954.974397707,405556.1065359801,POINT (-823115.3139657828 406897.6671589424),222.65450760505266
8,-824521.5344301374,407116.3502730223,109547440.60445572,11,1360-gt1l,2.8964920640381684,-806308.5218494643,403146.2973535421,-816593.0948823424,405388.8914991801,POINT (-824521.5344301374 407116.3502730223),1423.1227279308705
9,-920467.6404431582,336611.78484212654,109462588.94354798,11,1345-gt3r,3.4821374527325086,-920467.6404431582,336611.78484212654,-974929.1177355606,342769.49090030795,POINT (-920467.6404431582 336611.78484212654),136.9249096741228
10,-920575.2698917899,336527.142461037,109462588.59524626,11,1345-gt3l,3.163739757090251,-920575.2698917899,336527.142461037,-975714.4900583922,342762.08575762826,POINT (-920575.2698917899 336527.142461037),136.9249096741228
11,-965732.3632834826,338401.37317313446,109462595.49645768,11,1345-gt2r,3.992978383206621,,,,,POINT (-965732.3632834826 338401.37317313446),5413.764617104853
12,-923038.2157990072,333484.8651049322,109462588.91705059,11,1345-gt2l,6.084122509738021,-923038.2157990072,333484.8651049322,-946438.4614962786,336138.07620307873,POINT (-923038.2157990072 333484.8651049322),1973.7677858611019
13,-937857.9958667399,331925.3056457624,109462591.40116365,11,1345-gt1r,4.043916626030837,-937857.9958667399,331925.3056457624,-964224.2597601848,334903.21187526296,POINT (-937857.9958667399 331925.3056457624),94.27408270552208
14,-937906.3550060071,331844.37977647886,109462591.04517409,11,1345-gt1l,3.86403678323742,-937906.3550060071,331844.37977647886,-964020.8224360351,334794.3236964578,POINT (-937906.3550060071 331844.37977647886),94.27408270552208
15,-815161.9907134848,421511.35412741045,109411403.30727428,11,1336-gt2r,3.270419222701796,,,,,POINT (-815161.9907134848 421511.35412741045),93.33007626740051
16,-815076.5714743589,421548.95807299105,109411402.95141827,11,1336-gt2l,3.55538761845224,,,,,POINT (-815076.5714743589 421548.95807299105),93.33007626740051
17,-812357.6366626277,423438.853976353,109411403.44287622,11,1336-gt1r,3.2069852872929525,-804470.4444881922,416437.69757591066,-800410.0129736096,412835.0105669997,POINT (-812357.6366626277 423438.853976353),94.22540643155897
18,-812271.5649397884,423477.1956735595,109411403.08700001,11,1336-gt1l,3.7915546145735233,,,,,POINT (-812271.5649397884 423477.1956735595),94.22540643155897
19,-890691.873368255,361526.91088273807,109326536.07525662,11,1321-gt3r,4.415618254900914,,,,,POINT (-890691.873368255 361526.91088273807),1022.9567227514839
20,-887472.0293930621,363280.4359687675,109326536.3199878,11,1321-gt2r,4.1114787121947325,-894139.4081005923,368116.5465173017,-887472.0293930621,363280.4359687675,POINT (-887472.0293930621 363280.4359687675),1102.7113466024227
21,-884158.8835439418,360983.86336783576,109326536.54208302,11,1321-gt2l,5.205109623008,-887390.1899558073,363326.9796223327,-884158.8835439418,360983.86336783576,POINT (-884158.8835439418 360983.86336783576),2680.1460557750684
22,-813827.0115949777,423877.8930372511,109202339.20610943,11,1299-gt3l,2.7173991759094043,,,,,POINT (-813827.0115949777 423877.8930372511),1533.5638196087077
23,-811766.8149212786,420100.7986486202,109202339.17059913,11,1299-gt2r,3.2050276579803656,-804639.9118995348,418445.02982643724,-811766.8149212786,420100.7986486202,POINT (-811766.8149212786 420100.7986486202),267.0675820606995
24,-812032.5931921868,420074.58788554824,109202338.84565449,11,1299-gt2l,3.380059783458642,,,,,POINT (-812032.5931921868 420074.58788554824),267.0675820606995
25,-820380.3169230348,418708.5052643377,109202340.35730329,11,1299-gt1r,3.576501434631441,,,,,POINT (-820380.3169230348 418708.5052643377),104.4378834435059
26,-820456.7389866357,418637.3228248379,109202340.00427404,11,1299-gt1l,3.4934732519237324,,,,,POINT (-820456.7389866357 418637.3228248379),104.4378834435059
27,-877921.9631422262,367770.7608759711,108981437.48614904,11,1260-gt3r,4.843413410631023,,,,,POINT (-877921.9631422262 367770.7608759711),145.62151006485064
28,-877776.3416860534,367770.63559354754,108981437.14151861,11,1260-gt3l,5.382451054480367,,,,,POINT (-877776.3416860534 367770.63559354754),145.62151006485064
