,x,y,time,cyc,track,qs,px1,py1,px2,py2,geometry,min_dist
0,-895424.7252035127,357404.5633967672,86131263.08841008,8,1382-gt1r,4.404562359352389,,,,,POINT (-895424.7252035127 357404.5633967672),110.81379467619551
1,-895322.7329578382,357447.89097358397,86131262.73484305,8,1382-gt1l,4.721748706303626,,,,,POINT (-895322.7329578382 357447.89097358397),110.81379467619551
2,-889943.6664322149,360966.5170996174,85786162.8003405,8,1321-gt3r,5.215731186793468,,,,,POINT (-889943.6664322149 360966.5170996174),180.6134872454066
3,-889763.8959897978,360949.08667196636,85786162.46113266,8,1321-gt3l,5.12471138818245,,,,,POINT (-889763.8959897978 360949.08667196636),180.6134872454066
4,-887420.8011067744,363218.4116781607,85786162.9218058,8,1321-gt2r,6.15335130837905,-904996.8838791529,375967.3383939751,-887420.8011067744,363218.4116781607,POINT (-887420.8011067744 363218.4116781607),958.6095912806744
5,-886593.6519899267,362733.89471561613,85786162.69782242,8,1321-gt2l,4.945854543647469,,,,,POINT (-886593.6519899267 362733.89471561613),583.0116299459714
6,-883022.0354532544,364110.6631190098,85786163.37863891,8,1321-gt1r,5.7873877653311325,-913362.0669182378,386125.9688996473,-883022.0354532544,364110.6631190098,POINT (-883022.0354532544 364110.6631190098),98.58020498318966
7,-882937.3564650503,364161.136139241,85786163.02306175,8,1321-gt1l,6.106422973321142,,,,,POINT (-882937.3564650503 364161.136139241),98.58020498318966
8,-813693.6174271728,423936.1880523275,85661966.07020766,8,1299-gt3r,3.165333017523677,,,,,POINT (-813693.6174271728 423936.1880523275),94.85653351714672
9,-813695.6344782829,423841.3529667541,85661965.7058633,8,1299-gt3l,3.079500790970293,,,,,POINT (-813695.6344782829 423841.3529667541),94.85653351714672
10,-811918.7348666707,420134.83233144495,85661965.71263373,8,1299-gt2r,3.4023289561316434,,,,,POINT (-811918.7348666707 420134.83233144495),97.52811971667423
11,-811921.3731165365,420037.33990213316,85661965.34757857,8,1299-gt2l,3.1202358987263548,,,,,POINT (-811921.3731165365 420037.33990213316),97.52811971667423
12,-820267.2859936709,418679.04770469986,85661966.8597532,8,1299-gt1r,3.724971035614396,,,,,POINT (-820267.2859936709 418679.04770469986),147.36034297528798
13,-820401.3282743254,418617.82893569267,85661966.51554999,8,1299-gt1l,3.7456145844761317,,,,,POINT (-820401.3282743254 418617.82893569267),147.36034297528798
14,-956737.6471909231,306815.1424970319,85356194.60879228,8,1245-gt3l,2.8670187827034845,,,,,POINT (-956737.6471909231 306815.1424970319),458.601584846663
15,-957864.5231823114,311248.52030761004,85356194.51683235,8,1245-gt2r,3.358487638890684,-978087.3372975492,323448.1661177553,-957864.5231823114,311248.52030761004,POINT (-957864.5231823114 311248.52030761004),4337.57143716834
16,-893721.6654732802,359048.0309375212,85232012.12295863,8,1223-gt3r,5.031844251766668,,,,,POINT (-893721.6654732802 359048.0309375212),119.61381827468125
17,-893811.519894362,358969.07747949485,85232011.77232689,8,1223-gt3l,5.84067249832698,,,,,POINT (-893811.519894362 358969.07747949485),119.61381827468125
18,-896184.2844101721,355965.8404194769,85232012.06837688,8,1223-gt2l,3.1073382432093926,-896184.2844101721,355965.8404194769,-911282.17171138,358100.6578087589,POINT (-896184.2844101721 355965.8404194769),977.4365613726945
19,-903266.9711798065,353724.12546520255,85232013.41718653,8,1223-gt1r,4.328499764192636,,,,,POINT (-903266.9711798065 353724.12546520255),164.64213082755901
20,-903414.8606884404,353651.7671589795,85232013.07536885,8,1223-gt1l,4.574394998788869,,,,,POINT (-903414.8606884404 353651.7671589795),164.64213082755901
21,-858353.6249264533,376889.5627223916,85095965.35411535,8,1199-gt1r,6.047766739731055,,,,,POINT (-858353.6249264533 376889.5627223916),100.69231096944466
22,-858266.2349047674,376939.58197466604,85095964.99739133,8,1199-gt1l,7.113732463394756,,,,,POINT (-858266.2349047674 376939.58197466604),100.69231096944466
23,-924575.9912284672,302327.13122271595,85011099.58605352,8,1184-gt3r,3.6027047932507084,-972831.9159758753,332311.673020765,-957673.7560507085,322883.51913681696,POINT (-924575.9912284672 302327.13122271595),98.19782521690625
24,-924495.3824243193,302383.2118215998,85011099.23026921,8,1184-gt3l,3.8121772302550085,-972800.9153802564,332398.4196773702,-957361.0686450338,322796.0187569776,POINT (-924495.3824243193 302383.2118215998),98.19782521690625
