,x,y,time,cyc,track,qs,px1,py1,px2,py2,geometry,min_dist
0,-823001.8395364864,410163.7329676854,46773125.12655409,3,1360-gt2l,2.794592566074268,,,,,POINT (-823001.8395364864 410163.7329676854),775.3577404404263
1,-824845.2625754408,407276.070270003,46773125.67750496,3,1360-gt1r,3.06230952374444,,,,,POINT (-824845.2625754408 407276.070270003),750.3972796398674
2,-823057.0786021921,406799.1441007744,46773125.04866013,3,1360-gt1l,2.8630927590685324,,,,,POINT (-823057.0786021921 406799.1441007744),202.6744246897238
3,-920545.724222148,336614.61094112747,46688273.909324735,3,1345-gt3r,3.572870479391211,-920545.724222148,336614.61094112747,-972876.3983311065,342535.44284533395,POINT (-920545.724222148 336614.61094112747),1094.733382904835
4,-921640.0417155628,336644.78383049014,46688273.7052275,3,1345-gt3l,4.5662105387252065,-921640.0417155628,336644.78383049014,-968625.9934213754,341962.8626825871,POINT (-921640.0417155628 336644.78383049014),1094.733382904835
5,-959090.3816686681,337655.4683677358,46688279.484417975,3,1345-gt2r,3.4770625729384927,,,,,POINT (-959090.3816686681 337655.4683677358),400.44442570822025
6,-959487.9489303845,337607.5516640496,46688279.17902995,3,1345-gt2l,6.545894107484303,,,,,POINT (-959487.9489303845 337607.5516640496),400.44442570822025
7,-962113.7416107022,334665.7674932546,46688279.88754455,3,1345-gt1r,3.9384923057173205,,,,,POINT (-962113.7416107022 334665.7674932546),213.20242299234297
8,-962317.0419312604,334601.5471473293,46688279.554867744,3,1345-gt1l,3.9400508018841,-937654.843949997,331814.9763403441,-947390.8207935247,332916.80188662896,POINT (-962317.0419312604 334601.5471473293),213.20242299234297
9,-811381.7048040818,422545.05761173303,46637088.799789034,3,1336-gt1r,2.8058719488501684,,,,,POINT (-811381.7048040818 422545.05761173303),1462.0757327231524
10,-812414.8855529621,423579.56376848667,46637088.227155276,3,1336-gt1l,4.2676279994428,,,,,POINT (-812414.8855529621 423579.56376848667),1170.9203861559856
11,-813749.3628169597,423954.2334896879,46428025.643893756,3,1299-gt3r,3.5488823361009483,,,,,POINT (-813749.3628169597 423954.2334896879),233.57902838933313
12,-813561.9207044569,423814.86126518185,46428025.25118557,3,1299-gt3l,6.408826236242627,,,,,POINT (-813561.9207044569 423814.86126518185),233.57902838933313
13,-820171.6214166181,418660.82847692154,46428026.41109341,3,1299-gt1r,4.055144733553959,,,,,POINT (-820171.6214166181 418660.82847692154),104.42354921034551
