,x,y,time,cyc,track,qs,px1,py1,px2,py2,geometry,min_dist
0,-900820.7507012709,353095.32042269653,62590901.451298475,5,1382-gt3r,3.016904697124801,-908858.7458359288,358762.90157363453,-900820.7507012709,353095.32042269653,POINT (-900820.7507012709 353095.32042269653),107.68943060425718
1,-900816.4004525697,353202.9219505672,62590901.08128749,5,1382-gt3l,3.113934638374986,,,,,POINT (-900816.4004525697 353202.9219505672),107.68943060425718
2,-895390.5097511791,357351.7169096009,62590901.772747144,5,1382-gt1r,4.750242705240484,,,,,POINT (-895390.5097511791 357351.7169096009),93.05054040559084
3,-895322.1800785961,357414.87907323125,62590901.41426755,5,1382-gt1l,4.970901068802801,,,,,POINT (-895322.1800785961 357414.87907323125),93.05054040559084
4,-822751.4136221226,410216.27843214327,62466706.65574547,5,1360-gt2r,3.100770850869451,-803566.6794981529,406038.86677491694,-812749.3782710611,408039.9610602456,POINT (-822751.4136221226 410216.27843214327),343.0340365965743
5,-822447.4021752819,410057.37786432315,62466706.24659967,5,1360-gt2l,2.97674921719787,,,,,POINT (-822447.4021752819 410057.37786432315),343.0340365965743
6,-824842.1871665026,407290.2299580202,62466706.878827825,5,1360-gt1r,3.433927681174766,-805791.1880349733,403144.4851492894,-817235.9329786905,405637.6442703843,POINT (-824842.1871665026 407290.2299580202),785.9386274799405
7,-822978.6014384058,406793.73158983624,62466706.23844472,5,1360-gt1l,2.9276898931074546,-806285.7818527425,403159.2594461983,-817464.3845888708,405594.47157580074,POINT (-822978.6014384058 406793.73158983624),764.4822091781066
8,-956377.2288647047,306507.2251630964,61815834.11034822,5,1245-gt3r,3.8175829210256755,,,,,POINT (-956377.2288647047 306507.2251630964),214.7308903249472
9,-956163.7591931344,306483.98608868726,61815833.77781273,5,1245-gt3l,3.5560859248047123,-969814.1689996431,314714.1836963737,-958183.1872951624,307700.6199147348,POINT (-956163.7591931344 306483.98608868726),214.7308903249472
10,-956141.1641607493,310220.28311133326,61815833.880224936,5,1245-gt2r,3.1928060924161166,-968588.7166296361,317726.6038831318,-956141.1641607493,310220.28311133326,POINT (-956141.1641607493 310220.28311133326),3720.554511281701
11,-930747.0826769718,295032.7174850234,61815837.7996627,5,1245-gt2l,3.9361898712684713,-982205.3672924,326054.7289595202,-955942.7034172845,310209.8910945812,POINT (-930747.0826769718 295032.7174850234),6998.244954656829
12,-893720.594084522,359055.59150553594,61691650.73991364,5,1223-gt3r,6.640771138578925,,,,,POINT (-893720.594084522 359055.59150553594),132.42908361466667
13,-893829.5869705678,358980.3717409895,61691650.39309963,5,1223-gt3l,5.444005257599599,,,,,POINT (-893829.5869705678 358980.3717409895),132.42908361466667
14,-899081.0324535704,356480.87427127385,61691651.4734512,5,1223-gt2r,5.769966164896584,-899081.0324535704,356480.87427127385,-911132.099127432,358188.39371509076,POINT (-899081.0324535704 356480.87427127385),2072.475801193939
15,-903323.1169949109,353744.290996513,61691652.04297736,5,1223-gt1r,5.949223539075776,,,,,POINT (-903323.1169949109 353744.290996513),100.14784739031566
16,-903297.470644984,353647.48264939175,61691651.67562779,5,1223-gt1l,4.2316384263264695,,,,,POINT (-903297.470644984 353647.48264939175),100.14784739031566
17,-924461.1094527525,302216.749263829,61470737.50881978,5,1184-gt3r,3.9737101364695855,-972718.4768439238,332235.7377341445,-957053.7323841382,322478.39147631195,POINT (-924461.1094527525 302216.749263829),784.0701779889067
