,x,y,time,cyc,track,qs,px1,py1,px2,py2,geometry,min_dist
0,-902184.0930000562,354203.3817469795,70437682.22388992,6,1382-gt3l,4.48975818884674,,,,,POINT (-902184.0930000562 354203.3817469795),1246.6415468713344
1,-898450.9063961643,355612.43907215056,70437682.5647642,6,1382-gt2l,5.98836442303536,,,,,POINT (-898450.9063961643 355612.43907215056),1128.2951828151115
2,-895454.1400718599,357430.42333146895,70437683.14663227,6,1382-gt1r,4.288502387210773,,,,,POINT (-895454.1400718599 357430.42333146895),98.28773743610985
3,-895370.3242981045,357481.7594337761,70437682.79051013,6,1382-gt1l,4.043567711565523,,,,,POINT (-895370.3242981045 357481.7594337761),98.28773743610985
4,-822548.9465350213,413433.45700834965,70313488.61290258,6,1360-gt3l,3.512145712042774,,,,,POINT (-822548.9465350213 413433.45700834965),936.5108772444349
5,-822927.1586003202,410232.40026663453,70313488.94675867,6,1360-gt2r,3.5081672119007115,,,,,POINT (-822927.1586003202 410232.40026663453),629.7090978431413
6,-822338.4621629136,410008.8604435801,70313488.4943713,6,1360-gt2l,3.2788014219901958,,,,,POINT (-822338.4621629136 410008.8604435801),629.7090978431413
7,-823097.6212531602,406887.4546048732,70313488.88457216,6,1360-gt1r,4.632330578547382,,,,,POINT (-823097.6212531602 406887.4546048732),323.90935296847914
8,-823420.8437513233,406866.37177722476,70313488.56793658,6,1360-gt1l,6.8124332042290945,,,,,POINT (-823420.8437513233 406866.37177722476),323.90935296847914
9,-877898.9274514561,367769.0811874309,69747491.35202226,6,1260-gt3r,4.706188703736279,-858839.1925477855,353565.3901383744,-839106.4741823123,338875.6444857558,POINT (-877898.9274514561 367769.0811874309),132.716624665604
10,-877766.9649648163,367783.2093360176,69747491.00507572,6,1260-gt3l,4.152544679272052,-904220.3943549357,387527.05509576824,-895855.568245859,381280.6125719952,POINT (-877766.9649648163 367783.2093360176),132.716624665604
11,-875473.9046665924,370076.37430088955,69747491.45171523,6,1260-gt2r,4.967193668738622,-856932.1790118503,356256.59527883364,-835717.5226118349,340464.42417178117,POINT (-875473.9046665924 370076.37430088955),137.58545117973955
12,-875493.8274336475,370212.5096736962,69747491.07546045,6,1260-gt2l,4.153563715846115,-896233.6595724131,385689.6239656572,-874526.2350621982,369490.8735419561,POINT (-875493.8274336475 370212.5096736962),137.58545117973955
13,-871608.3778841936,371319.3861464753,69747491.80982645,6,1260-gt1r,4.9657799103110785,,,,,POINT (-871608.3778841936 371319.3861464753),120.8516823701372
14,-871615.5629732759,371440.0240494187,69747491.43668002,6,1260-gt1l,3.4757986823289087,-852763.44483851,357388.8179594679,-831691.8738295842,341703.3769364245,POINT (-871615.5629732759 371440.0240494187),120.8516823701372
15,-893701.4585351808,359051.836419668,69538440.18701035,6,1223-gt3r,4.65973197892888,-830628.1091774701,350058.7893593744,-858447.4686694586,354038.2279034399,POINT (-893701.4585351808 359051.836419668),179.89251756096806
16,-893868.3208291335,358984.6181726568,69538439.84855185,6,1223-gt3l,3.8155537261263115,-830582.9360836028,349962.4378202189,-858691.504667144,353981.40669380635,POINT (-893868.3208291335 358984.6181726568),179.89251756096806
17,-899158.1921966244,356491.5277002373,69538440.9344564,6,1223-gt2r,4.972117170479689,,,,,POINT (-899158.1921966244 356491.5277002373),1128.2951828151115
18,-903381.5530178301,353748.2659590193,69538441.50146465,6,1223-gt1r,4.031973326509049,,,,,POINT (-903381.5530178301 353748.2659590193),133.87736496325272
19,-903298.0127675404,353643.65154590603,69538441.12553245,6,1223-gt1l,7.917581553658278,,,,,POINT (-903298.0127675404 353643.65154590603),133.87736496325272
20,-852186.5360346913,379335.37217215286,69057292.00069244,6,1138-gt3r,3.540754779662031,,,,,POINT (-852186.5360346913 379335.37217215286),52.59886151403263
21,-848581.3650811937,380702.1138001401,69057292.30503382,6,1138-gt2r,2.771535310254255,-833736.5209227892,369008.36964103376,-814838.1531691176,354135.6573434616,POINT (-848581.3650811937 380702.1138001401),325.0997149057459
22,-848768.235754174,380968.1385663024,69057291.8982154,6,1138-gt2l,4.534616014425353,-833725.2074296521,369117.12239996134,-814795.7725035199,354221.03211597307,POINT (-848768.235754174 380968.1385663024),325.0997149057459
23,-959024.1556272315,339597.09914840345,68972417.94425362,6,1123-gt3r,3.6536419913671407,,,,,POINT (-959024.1556272315 339597.09914840345),2379.173017005579
24,-956973.225773067,338391.2173224585,68972417.9265233,6,1123-gt3l,3.15540396432673,,,,,POINT (-956973.225773067 338391.2173224585),2379.173017005579
25,-945131.2043177092,334626.11203131726,68972420.04147948,6,1123-gt2r,3.508842801329138,,,,,POINT (-945131.2043177092 334626.11203131726),4947.160501657687
26,-932306.257320772,330343.8471630951,68972421.95607159,6,1123-gt1r,4.222368220020946,,,,,POINT (-932306.257320772 330343.8471630951),3445.3247286052238
