,x,y,time,cyc,track,qs,px1,py1,px2,py2,geometry,min_dist
0,-901546.7675080159,353620.224915394,93978052.87015021,9,1382-gt3r,2.9873264548421203,-910323.8448913638,359828.36649707303,-901546.7675080159,353620.224915394,POINT (-901546.7675080159 353620.224915394),938.6909039250771
1,-900733.3110452968,353151.79221332,93978052.64339802,9,1382-gt3l,2.906726255067962,-908868.7237830492,358917.7533261504,-900733.3110452968,353151.79221332,POINT (-900733.3110452968 353151.79221332),938.6909039250771
2,-898333.6062907191,355407.0438475956,93978053.1184356,9,1382-gt2r,4.76354247576894,-915598.0867229555,367624.55682454375,-898333.6062907191,355407.0438475956,POINT (-898333.6062907191 355407.0438475956),873.5103329279831
3,-899337.5312887138,356213.55034268094,93978052.5702531,9,1382-gt2l,4.766145732223445,-906376.0440799546,361202.0186356521,-899337.5312887138,356213.55034268094,POINT (-899337.5312887138 356213.55034268094),1287.7570144299348
4,-895374.3957457428,357374.5781116469,93978053.32130247,9,1382-gt1r,6.6825285706235285,,,,,POINT (-895374.3957457428 357374.5781116469),79.93837011397204
5,-895345.6529778723,357449.1703117191,93978052.95738615,9,1382-gt1l,5.603833523051854,,,,,POINT (-895345.6529778723 357449.1703117191),79.93837011397204
6,-822606.30260118,410059.37902638566,93853858.49110083,9,1360-gt2l,2.681028016711594,,,,,POINT (-822606.30260118 410059.37902638566),739.3222968168675
7,-823233.3600742465,406904.30820579414,93853858.86189891,9,1360-gt1r,2.5607548605249075,,,,,POINT (-823233.3600742465 406904.30820579414),1518.7204541523179
8,-813595.7153833255,423927.588186824,93508757.98834223,9,1299-gt3r,3.0890801155785166,-818241.0237683337,425004.03433659184,-825602.0285499422,426692.41176991106,POINT (-813595.7153833255 423927.588186824),196.70416423642052
9,-813786.5694259537,423879.97240540205,93508757.65148701,9,1299-gt3l,3.252630862926071,-818109.2028161573,424883.18501021015,-833909.9316750615,428522.85592032096,POINT (-813786.5694259537 423879.97240540205),196.70416423642052
10,-815821.6203152268,421050.71568926814,93508758.22540689,9,1299-gt2r,3.0177126717408376,-815821.6203152268,421050.71568926814,-825248.1833755706,423219.0881670368,POINT (-815821.6203152268 421050.71568926814),92.6259108298422
11,-815823.1164833572,420958.10186288145,93508757.86031711,9,1299-gt2l,2.9748318567658374,,,,,POINT (-815823.1164833572 420958.10186288145),92.6259108298422
12,-820398.3143977073,418717.03812482173,93508758.81194223,9,1299-gt1r,3.640927211140417,,,,,POINT (-820398.3143977073 418717.03812482173),116.80496211186951
13,-820342.1403866862,418614.6277754436,93508758.43884815,9,1299-gt1l,3.7892569227501713,,,,,POINT (-820342.1403866862 418614.6277754436),116.80496211186951
14,-871782.3241645911,343439.18824229704,93423900.60831667,9,1284-gt3r,3.4175174570321483,-838118.5450739281,339093.35680398374,-871782.3241645911,343439.18824229704,POINT (-871782.3241645911 343439.18824229704),7166.05027141229
15,-909202.7861307428,348148.7685973532,93423905.70657429,9,1284-gt3l,2.731167565552021,-909202.7861307428,348148.7685973532,-939655.4880895567,352033.5983621241,POINT (-909202.7861307428 348148.7685973532),777.1505566334486
16,-913514.1231012226,345442.60010849097,93423906.65546052,9,1284-gt2r,3.6944109679962747,-915755.2067770105,345727.6651675324,-957014.0982597489,350976.6841011425,POINT (-913514.1231012226 345442.60010849097),90.74230625066488
17,-913506.0067953353,345352.22150636395,93423906.29028395,9,1284-gt2l,4.3531561746963,,,,,POINT (-913506.0067953353 345352.22150636395),90.74230625066488
18,-869863.8671341065,336534.7114978513,93423900.23950233,9,1284-gt1r,3.3015566578030984,-829413.5042627283,331323.238840351,-869863.8671341065,336534.7114978513,POINT (-869863.8671341065 336534.7114978513),94.17271322791652
19,-869836.1839463144,336444.699604024,93423899.87220746,9,1284-gt1l,3.088637430709204,-828499.5580506017,331109.88974221534,-869836.1839463144,336444.699604024,POINT (-869836.1839463144 336444.699604024),94.17271322791652
20,-858336.8241249456,376879.4856122923,92942756.20283638,9,1199-gt1r,6.415772901182089,,,,,POINT (-858336.8241249456 376879.4856122923),97.17158481584102
21,-858263.4587466817,376943.2024716611,92942755.84347664,9,1199-gt1l,6.802982268673878,,,,,POINT (-858263.4587466817 376943.2024716611),97.17158481584102
22,-852313.8599758012,379299.6360494867,92597654.54960564,9,1138-gt3l,3.8325688218096197,,,,,POINT (-852313.8599758012 379299.6360494867),1486.6941102706674
23,-848797.3560696213,380742.52843850263,92597654.83599041,9,1138-gt2l,3.436464276198553,,,,,POINT (-848797.3560696213 380742.52843850263),879.760404781045
24,-869242.9588516905,373847.05230758537,92388598.63751574,9,1101-gt1r,6.507875010551854,-869242.9588516905,373847.05230758537,-901263.8147802034,379267.8419357105,POINT (-869242.9588516905 373847.05230758537),90.5008653209452
25,-869218.2504460257,373759.9896789015,92388598.26994644,9,1101-gt1l,3.5235709591446915,-869218.2504460257,373759.9896789015,-914048.620132617,381340.14687006857,POINT (-869218.2504460257 373759.9896789015),90.5008653209452
26,-921981.960999295,331266.52944584965,92167686.70378043,9,1062-gt3r,2.676450919368301,-935270.4890427059,340024.47892645287,-921981.960999295,331266.52944584965,POINT (-921981.960999295 331266.52944584965),180.80197458652006
27,-921801.3895831658,331257.4015933385,92167686.36384493,9,1062-gt3l,2.849258839084757,,,,,POINT (-921801.3895831658 331257.4015933385),180.80197458652006
28,-920373.7149907335,334167.7179133606,92167686.68436553,9,1062-gt2r,3.2216128295331115,-956688.4137247341,358120.4187868048,-920373.7149907335,334167.7179133606,POINT (-920373.7149907335 334167.7179133606),1308.3601860399522
29,-921411.3389927124,334964.67638588714,92167686.13291739,9,1062-gt2l,4.981697774163694,,,,,POINT (-921411.3389927124 334964.67638588714),914.5512245933036
30,-919950.5741447788,337853.9031495387,92167686.45851496,9,1062-gt1r,5.749285636770748,-945822.2921003405,354915.8052022877,-919950.5741447788,337853.9031495387,POINT (-919950.5741447788 337853.9031495387),97.35831908795267
31,-919934.0120232207,337949.8423929437,92167686.09141612,9,1062-gt1l,9.505549166926347,,,,,POINT (-919934.0120232207 337949.8423929437),97.35831908795267
32,-922522.6487041502,303262.91134589317,91958640.0627554,9,1025-gt2r,5.075714657037634,-922522.6487041502,303262.91134589317,-933702.9758831776,304177.21664161957,POINT (-922522.6487041502 303262.91134589317),101.30382852604278
33,-922569.0872992245,303172.8784487857,91958639.70550498,9,1025-gt2l,4.7792531476537095,,,,,POINT (-922569.0872992245 303172.8784487857),101.30382852604278
34,-825473.8353910471,397558.4372294443,91907455.20484084,9,1016-gt1r,5.218110159881722,,,,,POINT (-825473.8353910471 397558.4372294443),39.31310834778311
35,-825420.3943061109,397622.63342401193,91907454.84351213,9,1016-gt1l,5.579618433920679,,,,,POINT (-825420.3943061109 397622.63342401193),82.24582143882398
36,-825478.2221746995,397681.26233420166,91698393.62687372,9,979-gt3r,4.518832260440863,,,,,POINT (-825478.2221746995 397681.26233420166),82.34932601750657
37,-825496.2129347684,397590.7600700522,91698393.26429485,9,979-gt3l,4.847783104659167,,,,,POINT (-825496.2129347684 397590.7600700522),39.31310834778311
38,-827192.2781229503,394650.15700331,91698393.80193307,9,979-gt2r,4.693711587834065,,,,,POINT (-827192.2781229503 394650.15700331),99.77128194246117
39,-827248.3590032544,394567.63886248774,91698393.44531289,9,979-gt2l,7.0310863154045595,,,,,POINT (-827248.3590032544 394567.63886248774),99.77128194246117
40,-905459.727369449,351164.97784403164,91477487.80387656,9,940-gt3r,7.799360199422152,,,,,POINT (-905459.727369449 351164.97784403164),99.00773502752315
41,-905439.5678308744,351261.9114532688,91477487.43622653,9,940-gt3l,6.920523107236236,,,,,POINT (-905439.5678308744 351261.9114532688),99.00773502752315
42,-903098.1404157592,353662.7602044864,91477487.53257914,9,940-gt2l,7.110105478271884,,,,,POINT (-903098.1404157592 353662.7602044864),1039.2854794663442
43,-898586.5159212219,354443.87830898823,91477488.38180116,9,940-gt1r,4.719963937675752,,,,,POINT (-898586.5159212219 354443.87830898823),161.20131276957224
44,-898649.0213809917,354592.4681159657,91477488.00025605,9,940-gt1l,5.496597675447561,-903838.3009914333,358214.82971465844,-898649.0213809917,354592.4681159657,POINT (-898649.0213809917 354592.4681159657),161.20131276957224
45,-923125.9061123611,332551.76573890867,91268442.72272046,9,903-gt3r,4.995823895927567,-923125.9061123611,332551.76573890867,-936661.6557749445,334028.56701978965,POINT (-923125.9061123611 332551.76573890867),118.92209329010556
46,-923213.0932164253,332470.8900741052,91268442.37181701,9,903-gt3l,4.745732678869501,-961968.91397764,336686.94219934347,-978343.3414470495,338445.77272725274,POINT (-923213.0932164253 332470.8900741052),118.92209329010556
48,-933234.2684322412,326991.81959948066,91268444.1241918,9,903-gt1r,4.709736192037646,,,,,POINT (-933234.2684322412 326991.81959948066),6775.828372392277
49,-821035.1029342224,416890.9071354718,91217256.44032818,9,894-gt3r,4.120283416255627,-811698.9157786897,408675.5220420456,-797413.9404820035,396131.6558792969,POINT (-821035.1029342224 416890.9071354718),232.0374909438978
50,-821136.7731609392,417099.4846083755,91217256.04738995,9,894-gt3l,3.2698359387124563,-813040.3006730161,409979.2382099255,-805864.5302135173,403670.42128716,POINT (-821136.7731609392 417099.4846083755),168.65876181342043
51,-819244.2905069696,419721.76243633986,91217256.3813619,9,894-gt2r,3.588272335681341,-812624.3907165342,413899.86159388634,-803958.2328821268,406281.18947414553,POINT (-819244.2905069696 419721.76243633986),1530.1117875989264
52,-815703.5247312809,421006.0425107778,91217256.66056694,9,894-gt1r,2.905425077506824,-826861.527416582,430833.3590476666,-815703.5247312809,421006.0425107778,POINT (-815703.5247312809 421006.0425107778),102.73895918399393
53,-815611.5021539566,421051.72772717004,91217256.30393118,9,894-gt1l,3.1690269181145174,,,,,POINT (-815611.5021539566 421051.72772717004),102.73895918399393
54,-894028.7355399119,358704.6787762152,91132389.07764708,9,879-gt3r,5.509144541753864,-910392.5566475248,370475.6477247379,-894028.7355399119,358704.6787762152,POINT (-894028.7355399119 358704.6787762152),95.52517227126843
55,-893958.3676472822,358769.28077482444,91132388.71780016,9,879-gt3l,7.379696577503208,-919878.2078794488,377404.34275632363,-893958.3676472822,358769.28077482444,POINT (-893958.3676472822 358769.28077482444),95.52517227126843
56,-890606.332793992,360431.7578286286,91132388.98930684,9,879-gt2l,4.951081215182696,,,,,POINT (-890606.332793992 360431.7578286286),938.0591839207034
57,-956536.3730691283,309139.7331576501,90702421.2001247,9,803-gt1r,5.418143459182887,-979940.6989465164,323116.098222261,-956536.3730691283,309139.7331576501,POINT (-956536.3730691283 309139.7331576501),1974.250768147405
59,-903672.5828723235,352796.65964916616,90578239.3202004,9,781-gt2r,3.9081566096476252,,,,,POINT (-903672.5828723235 352796.65964916616),118.82554708656556
