,x,y,time,cyc,track,qs,px1,py1,px2,py2,geometry,min_dist
0,-903760.3541383612,352744.65860957484,31203750.020717915,1,1382-gt3r,5.208227267026682,,,,,POINT (-903760.3541383612 352744.65860957484),99.94524999902936
1,-903702.7817046329,352826.35602613114,31203749.659766663,1,1382-gt3l,4.595390836172333,,,,,POINT (-903702.7817046329 352826.35602613114),99.94524999902936
2,-901172.8773933343,354961.858528113,31203750.162152253,1,1382-gt2r,4.935778363062119,,,,,POINT (-901172.8773933343 354961.858528113),109.16784470986791
3,-901082.2922919446,355022.7843660212,31203749.80605091,1,1382-gt2l,4.482308944662617,-922641.9866518236,370244.5848345084,-901082.2922919446,355022.7843660212,POINT (-901082.2922919446 355022.7843660212),109.16784470986791
4,-821550.3148804955,416007.23012475023,31079554.372352935,1,1360-gt3r,5.573678409257915,,,,,POINT (-821550.3148804955 416007.23012475023),106.11027385893162
5,-821533.268680885,415902.4980031387,31079554.005385634,1,1360-gt3l,6.536624237529891,,,,,POINT (-821533.268680885 415902.4980031387),106.11027385893162
6,-822195.5563182491,412769.50386052666,31079554.383670077,1,1360-gt2r,3.2315332315754297,-802042.4310018704,408369.5180087618,-810692.1664051437,410259.47593787615,POINT (-822195.5563182491 412769.50386052666),185.0366316655893
7,-822368.9543350525,412704.9152947678,31079554.04450383,1,1360-gt2l,2.9692675480003805,-820676.779333914,412334.92697592656,-844545.5400815943,417534.55230389995,POINT (-822368.9543350525 412704.9152947678),185.0366316655893
8,-822802.7898049263,409522.84821101424,31079554.388504636,1,1360-gt1r,3.9774588684215773,-804323.8120390098,405489.4811992179,-812973.2546303747,407378.29488300305,POINT (-822802.7898049263 409522.84821101424),290.9327623789916
9,-822558.2557824308,409365.22529368417,31079553.987503927,1,1360-gt1l,5.296947326536586,-804250.5064676978,405369.02525184554,-812975.9463980417,407274.50541681243,POINT (-822558.2557824308 409365.22529368417),290.9327623789916
10,-919502.5629272924,339063.5881519415,30994702.395851318,1,1345-gt3l,4.824305328064718,,,,,POINT (-919502.5629272924 339063.5881519415),1005.7934055062874
11,-920716.3015007648,335976.7640783189,30994702.900598865,1,1345-gt2r,5.207922068317379,-920716.3015007648,335976.7640783189,-953370.4922007158,339688.08795809984,POINT (-920716.3015007648 335976.7640783189),126.31451836724538
12,-920804.9350383023,335886.7671140705,30994702.5504947,1,1345-gt2l,4.375723792177985,-920804.9350383023,335886.7671140705,-954891.9210745627,339759.5421921322,POINT (-920804.9350383023 335886.7671140705),126.31451836724538
13,-939494.2068167323,334787.4205865114,30994705.60059952,1,1345-gt1r,2.6216054152303325,-962143.9532761861,337355.80818513536,-978139.3144668076,339160.9030846702,POINT (-939494.2068167323 334787.4205865114),127.98508916228555
14,-939583.0459540624,334695.29137981596,30994705.250247695,1,1345-gt1l,2.5161835217698694,-962271.506758425,337267.8629782885,-978150.6852768916,339059.5532910342,POINT (-939583.0459540624 334695.29137981596),127.98508916228555
15,-906073.3741208882,350513.6227979252,30649601.131363958,1,1284-gt3r,3.928797560253055,,,,,POINT (-906073.3741208882 350513.6227979252),327.4864137462709
16,-905777.0195945009,350374.2623089832,30649600.724312626,1,1284-gt3l,3.0920602431652466,-905777.0195945009,350374.2623089832,-932209.8980967486,353751.2534036114,POINT (-905777.0195945009 350374.2623089832),327.4864137462709
17,-909119.5971391356,347570.36780044675,30649601.532915365,1,1284-gt2r,3.1277617369771304,,,,,POINT (-909119.5971391356 347570.36780044675),2002.9348762590398
18,-880792.279256783,367406.9195516559,30513550.56084571,1,1260-gt3r,4.8418224976028075,,,,,POINT (-880792.279256783 367406.9195516559),1114.7606777763003
19,-879840.2772910866,366826.933667322,30513550.35958767,1,1260-gt3l,4.408521759729289,,,,,POINT (-879840.2772910866 366826.933667322),1114.7606777763003
20,-894294.8084244602,358473.64539097593,30304498.946192734,1,1223-gt2r,4.404409013979923,,,,,POINT (-894294.8084244602 358473.64539097593),154.87875265030272
21,-894424.7503680727,358389.3689451993,30304498.601708706,1,1223-gt2l,4.372803402113452,-894424.7503680727,358389.3689451993,-936005.035737733,364274.5370908751,POINT (-894424.7503680727 358389.3689451993),154.87875265030272
22,-925926.4717317568,300814.9920728457,30083584.894188285,1,1184-gt3r,3.835938478757647,-955248.6716778158,319033.3786663534,-924652.256685392,300024.06969397486,POINT (-925926.4717317568 300814.9920728457),383.0554680887573
23,-925559.8394334576,300704.03149661917,30083584.58679763,1,1184-gt3l,4.58470998082289,-973943.8992493192,330782.6049692454,-960937.684016385,322689.59210479865,POINT (-925559.8394334576 300704.03149661917),383.0554680887573
24,-923044.455495136,302911.86890952406,30083585.108777653,1,1184-gt2r,4.0174929055023565,-964573.6377490448,328725.6840072319,-940979.4262023778,314053.6318172745,POINT (-923044.455495136 302911.86890952406),1367.3326804469857
25,-924147.6094199563,303719.7365206905,30083584.549598545,1,1184-gt2l,4.1616262503667985,-965362.2779384351,329339.5389608782,-924147.6094199563,303719.7365206905,POINT (-924147.6094199563 303719.7365206905),1367.3326804469857
