,x,y,time,cyc,track,qs,px1,py1,px2,py2,geometry,min_dist
0,-959139.3233219028,337569.18997364846,54535073.06677164,4,1345-gt2l,10.025391076563661,-921413.0660927147,333296.9005486467,-938850.8340978146,335274.92480379966,POINT (-959139.3233219028 337569.18997364846),2274.3653700299683
1,-937683.8522518238,331905.1643305155,54535070.268642105,4,1345-gt1r,3.0407187311707786,,,,,POINT (-937683.8522518238 331905.1643305155),94.99552324438199
2,-937732.3006008479,331823.4519880371,54535069.91300836,4,1345-gt1l,2.919742312032152,,,,,POINT (-937732.3006008479 331823.4519880371),94.99552324438199
5,-858381.7475234389,376916.8622660283,53708815.051362276,4,1199-gt1r,5.122522781668543,,,,,POINT (-858381.7475234389 376916.8622660283),909.3107246870204
6,-859194.0480735083,377648.8650044568,53708814.53190071,4,1199-gt1l,5.814743532177098,,,,,POINT (-859194.0480735083 377648.8650044568),1093.462478876108
7,-875243.7726868963,369060.65364088846,53499759.062183,4,1162-gt3r,4.715155407370126,-838530.5967171257,363315.5828461222,-853048.0219429932,365590.74462462054,POINT (-875243.7726868963 369060.65364088846),96.5396722520844
8,-875239.0989178915,368964.22717044683,53499758.696793325,4,1162-gt3l,4.887767545748673,-839295.0357091527,363340.010242682,-857601.1090038297,366208.1292637347,POINT (-875239.0989178915 368964.22717044683),96.5396722520844
9,-880120.4778930815,366472.1941743752,53499759.71808734,4,1162-gt2r,5.436403372851456,-841061.8867129108,360364.8212500661,-852252.0340823978,362118.11416622833,POINT (-880120.4778930815 366472.1941743752),195.87812596724658
10,-880307.0873650579,366412.6530524415,53499759.38230619,4,1162-gt2l,5.247622467437387,,,,,POINT (-880307.0873650579 366412.6530524415),195.87812596724658
11,-883284.025094369,363620.1579443739,53499760.12417736,4,1162-gt1r,4.722528146065934,,,,,POINT (-883284.025094369 363620.1579443739),87.27771260862767
12,-883277.8702580392,363533.0975222066,53499759.76029271,4,1162-gt1l,4.397912826704446,-834339.6333332799,355881.47459042975,-854833.3245392145,359092.93034977425,POINT (-883277.8702580392 363533.0975222066),57.64659148362438
13,-852230.4429593445,379374.00532527606,53363715.38453306,4,1138-gt3r,4.274470950652193,-839295.5133895654,369183.93672614865,-835518.3977739684,366210.56130947615,POINT (-852230.4429593445 379374.00532527606),28.643294450905014
14,-852157.1742842392,379435.53916790115,53363715.02490819,4,1138-gt3l,3.837786969668441,,,,,POINT (-852157.1742842392 379435.53916790115),95.68026201832699
15,-848714.8728069641,380815.71723400016,53363715.671214595,4,1138-gt2r,3.569584678859403,,,,,POINT (-848714.8728069641 380815.71723400016),3686.3074890515995
